decile,variable,value,year
decile 8,total,52.96671394698187,92
decile 9,total,104.32766694926545,92
decile 10,total,1314.7830536543504,92
decile 1,Food,2320918.1977972914,93
decile 2,Food,3393656.240720198,93
decile 3,Food,3982698.7186894324,93
decile 4,Food,4325222.057380415,93
decile 5,Food,4738316.32087156,93
decile 6,Food,5119682.825518263,93
decile 7,Food,5486218.51857879,93
decile 8,Food,6228095.584393311,93
decile 9,Food,6735605.080289514,93
decile 10,Food,8012097.879801467,93
decile 1,food_std,1330184.162478905,93
decile 2,food_std,1624170.2708970504,93
decile 3,food_std,1860236.4991952896,93
decile 4,food_std,2001420.1139465484,93
decile 5,food_std,2217206.5181071963,93
decile 6,food_std,2495602.5740618305,93
decile 7,food_std,2713779.372880342,93
decile 8,food_std,3146714.935891684,93
decile 9,food_std,3772300.6226553167,93
decile 10,food_std,6613535.51107429,93
decile 1,Drink,64492.40958475964,93
decile 2,Drink,97460.81150268794,93
decile 3,Drink,110918.91093677896,93
decile 4,Drink,112015.19195237117,93
decile 5,Drink,117076.58256880734,93
decile 6,Drink,116988.58588351432,93
decile 7,Drink,112695.0569568755,93
decile 8,Drink,124667.64327568958,93
decile 9,Drink,96828.56421477866,93
decile 10,Drink,122600.12947777298,93
decile 1,drink_std,214036.42237249055,93
decile 2,drink_std,282222.088762087,93
decile 3,drink_std,322947.8599624182,93
decile 4,drink_std,334674.9883412702,93
decile 5,drink_std,355662.6480301611,93
decile 6,drink_std,378873.384245379,93
decile 7,drink_std,335841.67821888794,93
decile 8,drink_std,396339.95378973027,93
decile 9,drink_std,284385.8572923196,93
decile 10,drink_std,453357.648989927,93
decile 1,Cloth,107429.08170858759,93
decile 2,Cloth,309707.9955627613,93
decile 3,Cloth,455410.2907245039,93
decile 4,Cloth,568580.0862245945,93
decile 5,Cloth,681389.6215596331,93
decile 6,Cloth,894735.1924975321,93
decile 7,Cloth,1111258.3401139136,93
decile 8,Cloth,1417650.2786908676,93
decile 9,Cloth,1689873.3378219155,93
decile 10,Cloth,2599201.9853258524,93
decile 1,cloth_std,288443.3027110044,93
decile 2,cloth_std,583716.793192084,93
decile 3,cloth_std,798216.0745274319,93
decile 4,cloth_std,906191.0942429058,93
decile 5,cloth_std,1049559.0076619645,93
decile 6,cloth_std,1294811.2546883298,93
decile 7,cloth_std,1685876.8862348078,93
decile 8,cloth_std,1959604.0190149683,93
decile 9,cloth_std,2446872.304645636,93
decile 10,cloth_std,4786510.900124307,93
decile 1,Housing,1230819.7951332044,93
decile 2,Housing,1889771.7221605938,93
decile 3,Housing,2337905.2864790033,93
decile 4,Housing,2697841.1044959966,93
decile 5,Housing,3059105.6450688075,93
decile 6,Housing,3426064.627344521,93
decile 7,Housing,3788432.277325739,93
decile 8,Housing,4316158.083464342,93
decile 9,Housing,5238933.707120013,93
decile 10,Housing,7872886.271040138,93
decile 1,housign_std,743702.9989941836,93
decile 2,housign_std,1068288.0809059395,93
decile 3,housign_std,1282078.3292969472,93
decile 4,housign_std,1490026.7442497306,93
decile 5,housign_std,1719497.3057272444,93
decile 6,housign_std,1992769.3118444216,93
decile 7,housign_std,2292439.920274642,93
decile 8,housign_std,2850997.133837094,93
decile 9,housign_std,4175868.5533707645,93
decile 10,housign_std,8017378.213469525,93
decile 1,Furniture,143707.0248548891,93
decile 2,Furniture,222863.85357112382,93
decile 3,Furniture,270527.0881402861,93
decile 4,Furniture,317184.7772531308,93
decile 5,Furniture,356244.4495412844,93
decile 6,Furniture,406634.304047384,93
decile 7,Furniture,448126.7019256848,93
decile 8,Furniture,567153.2371016149,93
decile 9,Furniture,681866.251472816,93
decile 10,Furniture,1281668.6663789384,93
decile 1,furniture_std,137988.78390796093,93
decile 2,furniture_std,208165.83764099216,93
decile 3,furniture_std,265675.950582802,93
decile 4,furniture_std,330932.12529528694,93
decile 5,furniture_std,415570.4521343658,93
decile 6,furniture_std,507707.43046119774,93
decile 7,furniture_std,626690.6621762582,93
decile 8,furniture_std,889980.1820788842,93
decile 9,furniture_std,1266362.090352475,93
decile 10,furniture_std,4660003.467456243,93
decile 1,Health,167984.64057151362,93
decile 2,Health,301859.2798020309,93
decile 3,Health,369521.4766958929,93
decile 4,Health,486629.53192362963,93
decile 5,Health,611161.0665137614,93
decile 6,Health,759589.5236920039,93
decile 7,Health,916173.393002441,93
decile 8,Health,1246875.7753322853,93
decile 9,Health,1743734.243393368,93
decile 10,Health,2994945.9861890376,93
decile 1,health_std,310326.1943425444,93
decile 2,health_std,500222.90861251176,93
decile 3,health_std,642686.0046287957,93
decile 4,health_std,793350.070446296,93
decile 5,health_std,1050609.0282099333,93
decile 6,health_std,1358915.2153738025,93
decile 7,health_std,1475140.8543779633,93
decile 8,health_std,2100667.9031775217,93
decile 9,health_std,2947055.044776707,93
decile 10,health_std,8071963.386710405,93
decile 1,Transportation,230175.91903557078,93
decile 2,Transportation,384790.1698097107,93
decile 3,Transportation,499203.5532994924,93
decile 4,Transportation,605791.3672757134,93
decile 5,Transportation,736733.7729357798,93
decile 6,Transportation,820895.5454096743,93
decile 7,Transportation,941515.3919175481,93
decile 8,Transportation,1077532.58539374,93
decile 9,Transportation,1280377.545867699,93
decile 10,Transportation,1689082.0025895555,93
decile 1,transportation_std,268260.6665715207,93
decile 2,transportation_std,377146.8264053845,93
decile 3,transportation_std,455927.7582181075,93
decile 4,transportation_std,560462.5538553827,93
decile 5,transportation_std,700529.1705058804,93
decile 6,transportation_std,777574.4503873881,93
decile 7,transportation_std,910769.7498841756,93
decile 8,transportation_std,1028389.715804052,93
decile 9,transportation_std,1268512.3264415336,93
decile 10,transportation_std,2682264.338968252,93
decile 1,ICT,137205.34454531924,93
decile 2,ICT,221983.8296783002,93
decile 3,ICT,273797.27734194737,93
decile 4,ICT,314602.23773352493,93
decile 5,ICT,355321.19266055047,93
decile 6,ICT,402538.5389930898,93
decile 7,ICT,435799.513154326,93
decile 8,ICT,509707.5175075032,93
decile 9,ICT,576439.5724625484,93
decile 10,ICT,685010.8977125593,93
decile 1,ict_std,137508.71543141975,93
decile 2,ict_std,180563.92320262917,93
decile 3,ict_std,216293.16312280475,93
decile 4,ict_std,237919.6384389355,93
decile 5,ict_std,297846.2934167141,93
decile 6,ict_std,325055.627821858,93
decile 7,ict_std,330163.35441412334,93
decile 8,ict_std,411049.45102041954,93
decile 9,ict_std,467559.4637647482,93
decile 10,ict_std,580931.3127149714,93
decile 1,Restaurant,17682.87691620777,93
decile 2,Restaurant,42913.68717467361,93
decile 3,Restaurant,60775.44993077988,93
decile 4,Restaurant,83844.23116403203,93
decile 5,Restaurant,95186.18119266054,93
decile 6,Restaurant,129814.78282329714,93
decile 7,Restaurant,146824.24735557364,93
decile 8,Restaurant,222661.4263255681,93
decile 9,Restaurant,283117.65696010774,93
decile 10,Restaurant,1351333.081570997,93
decile 1,restaurant_std,72121.57363432768,93
decile 2,restaurant_std,113073.68073371233,93
decile 3,restaurant_std,153839.4061134284,93
decile 4,restaurant_std,208155.71712960192,93
decile 5,restaurant_std,227846.99045447604,93
decile 6,restaurant_std,320089.5131554057,93
decile 7,restaurant_std,367978.2907689306,93
decile 8,restaurant_std,636949.5973642422,93
decile 9,restaurant_std,828214.9199712147,93
decile 10,restaurant_std,8682435.746608568,93
decile 1,Durables,359430.0032618941,93
decile 2,Durables,852025.3772221748,93
decile 3,Durables,1361008.4988770958,93
decile 4,Durables,1864411.15898515,93
decile 5,Durables,2498079.9839927373,93
decile 6,Durables,3162190.408070089,93
decile 7,Durables,4019141.492891691,93
decile 8,Durables,5518607.650242961,93
decile 9,Durables,8053043.095157943,93
decile 10,Durables,13706522.193371456,93
decile 1,durables_std,539081.0356723042,93
decile 2,durables_std,971514.0611011118,93
decile 3,durables_std,1320360.6188878622,93
decile 4,durables_std,1644009.257170623,93
decile 5,durables_std,2035671.8276265666,93
decile 6,durables_std,2514384.7353983666,93
decile 7,durables_std,3129614.6267875326,93
decile 8,durables_std,4405595.240728667,93
decile 9,durables_std,6496182.637471816,93
decile 10,durables_std,13588173.731734775,93
decile 1,Others,125201.1013543682,93
decile 2,Others,212467.48869357453,93
decile 3,Others,271962.23350253806,93
decile 4,Others,307537.00472182303,93
decile 5,Others,342227.1444954128,93
decile 6,Others,391876.02418558736,93
decile 7,Others,418225.96284241934,93
decile 8,Others,474947.96341289126,93
decile 9,Others,520612.792459182,93
decile 10,Others,770073.6728528269,93
decile 1,others_std,140855.06058660295,93
decile 2,others_std,194177.7488081634,93
decile 3,others_std,237574.56137800505,93
decile 4,others_std,280678.5021947206,93
decile 5,others_std,298767.1619618515,93
decile 6,others_std,350903.3031707862,93
decile 7,others_std,457063.2917997517,93
decile 8,others_std,478798.92175755586,93
decile 9,others_std,552685.5082549016,93
decile 10,others_std,1517124.779353869,93
decile 1,Investments,41831.82331200079,93
decile 2,Investments,114451.67391984527,93
decile 3,Investments,170916.66666666666,93
decile 4,Investments,241397.2233627592,93
decile 5,Investments,289481.55581039755,93
decile 6,Investments,415176.4972030273,93
decile 7,Investments,542337.4920893228,93
decile 8,Investments,790430.8989566957,93
decile 9,Investments,1523233.9673455646,93
decile 10,Investments,12574516.940008631,93
decile 1,investments_std,277385.07017300004,93
decile 2,investments_std,530221.7021746645,93
decile 3,investments_std,749743.1847336323,93
decile 4,investments_std,910228.6186498684,93
decile 5,investments_std,1091044.2505559912,93
decile 6,investments_std,1471707.3934418892,93
decile 7,investments_std,1891769.9029663429,93
decile 8,investments_std,2697052.2125149127,93
decile 9,investments_std,4551252.922565372,93
decile 10,investments_std,36363523.44292477,93
decile 1,Entertainment,18924.988837624645,93
decile 2,Entertainment,39324.13175185596,93
decile 3,Entertainment,55316.658975542225,93
decile 4,Entertainment,68567.28597823855,93
decile 5,Entertainment,85459.98853211009,93
decile 6,Entertainment,102679.2941757157,93
decile 7,Entertainment,114560.68619473827,93
decile 8,Entertainment,136732.95698156353,93
decile 9,Entertainment,171224.03635751558,93
decile 10,Entertainment,330695.1877427708,93
decile 1,entertainment_std,62834.76003927401,93
decile 2,entertainment_std,104824.50000334215,93
decile 3,entertainment_std,131638.37408786008,93
decile 4,entertainment_std,155068.69208636988,93
decile 5,entertainment_std,186612.35146114332,93
decile 6,entertainment_std,211385.98169581837,93
decile 7,entertainment_std,241298.56591024066,93
decile 8,entertainment_std,287908.8005874536,93
decile 9,entertainment_std,394676.32858421525,93
decile 10,entertainment_std,1152255.9302677445,93
decile 1,Total,193.3554729924853,93
decile 2,Total,308.573412874566,93
decile 3,Total,392.3439093774458,93
decile 4,Total,470.6435841717437,93
decile 5,Total,550.8396938706718,93
decile 6,Total,644.1559934755113,93
decile 7,Total,763.2754596508819,93
decile 8,Total,939.9504533889977,93
decile 9,Total,1235.670587626842,93
decile 10,Total,2445.4627874172033,93
decile 1,total,50.34136958707557,93
decile 2,total,25.672415878072943,93
decile 3,total,22.809394915520382,93
decile 4,total,22.59429543654151,93
decile 5,total,24.267092990269145,93
decile 6,total,29.70831286301795,93
decile 7,total,40.085317871043266,93
decile 8,total,63.232012940362715,93
decile 9,total,117.82940832468029,93
decile 10,total,1724.2499469635825,93
decile 1,Food,2466691.9724697433,94
decile 2,Food,3534899.8582883803,94
decile 3,Food,4085828.891802738,94
decile 4,Food,4496143.63071349,94
decile 5,Food,4885447.89168259,94
decile 6,Food,5198570.057630979,94
decile 7,Food,5664130.949381327,94
decile 8,Food,6245982.012737981,94
decile 9,Food,7028258.498024366,94
decile 10,Food,8613433.86060734,94
decile 1,food_std,1386836.5261095862,94
decile 2,food_std,1683681.441119796,94
decile 3,food_std,1885840.555933384,94
decile 4,food_std,2084154.0642871324,94
decile 5,food_std,2226790.407212938,94
decile 6,food_std,2475463.7200349905,94
decile 7,food_std,2737544.5286799124,94
decile 8,food_std,3337455.1607315126,94
decile 9,food_std,4231218.185106365,94
decile 10,food_std,6514250.629198368,94
decile 1,Drink,62841.25548610187,94
decile 2,Drink,100250.33532584924,94
decile 3,Drink,115710.51872010555,94
decile 4,Drink,123914.04682274247,94
decile 5,Drink,116883.93844916021,94
decile 6,Drink,112197.75056947608,94
decile 7,Drink,107483.71453568304,94
decile 8,Drink,120709.36857964663,94
decile 9,Drink,111400.55976292393,94
decile 10,Drink,105357.07507380852,94
decile 1,drink_std,217023.99233186667,94
