decile,variable,value,year
decile 2,investments_std,427836.5864106595,92
decile 3,investments_std,667944.9890909338,92
decile 4,investments_std,973349.0075538566,92
decile 5,investments_std,1176082.5515679957,92
decile 6,investments_std,1313743.4291560093,92
decile 7,investments_std,1900345.3520210763,92
decile 8,investments_std,3052347.1356128794,92
decile 9,investments_std,5346174.110980473,92
decile 10,investments_std,31858826.333867244,92
decile 1,Entertainment,19936.759829464707,92
decile 2,Entertainment,40302.253170289856,92
decile 3,Entertainment,52796.97640117994,92
decile 4,Entertainment,62030.64796259185,92
decile 5,Entertainment,79785.91333426222,92
decile 6,Entertainment,88625.3975826972,92
decile 7,Entertainment,108919.51640759931,92
decile 8,Entertainment,134016.29713852567,92
decile 9,Entertainment,165969.7971781305,92
decile 10,Entertainment,297778.96857373085,92
decile 1,entertainment_std,59002.95891089916,92
decile 2,entertainment_std,105387.12754484247,92
decile 3,entertainment_std,123758.041671561,92
decile 4,entertainment_std,144480.96137579673,92
decile 5,entertainment_std,186415.52161270796,92
decile 6,entertainment_std,198207.23493504428,92
decile 7,entertainment_std,242352.66995449553,92
decile 8,entertainment_std,337075.1760340959,92
decile 9,entertainment_std,386509.9909028778,92
decile 10,entertainment_std,1150351.7155009843,92
decile 1,Total,187.64547939649458,92
decile 2,Total,287.5279659469069,92
decile 3,Total,355.63126438708747,92
decile 4,Total,421.4009227291425,92
decile 5,Total,494.9524576845052,92
decile 6,Total,580.1821888411283,92
decile 7,Total,686.3120692074709,92
decile 8,Total,834.8074808883179,92
decile 9,Total,1090.4103776042546,92
decile 10,Total,2144.9041897262173,92
decile 1,total,45.465248468277956,92
decile 2,total,20.844198702333046,92
decile 3,total,18.767392906537797,92
decile 4,total,19.977966096384254,92
decile 5,total,22.806718813922938,92
decile 6,total,26.986793084140235,92
decile 7,total,34.79095603146128,92
