,decile,variable,value,year
24,5.0,Cloth,0.04729741031927772,91
25,6.0,Cloth,0.05019153960335484,91
26,7.0,Cloth,0.052948827939115824,91
27,8.0,Cloth,0.053573421260708756,91
28,9.0,Cloth,0.05702462411491034,91
29,10.0,Cloth,0.047674127197264986,91
30,1.0,Housing,0.2688338132290187,91
31,2.0,Housing,0.24684236663419443,91
32,3.0,Housing,0.24168025022767436,91
33,4.0,Housing,0.23502022061964184,91
34,5.0,Housing,0.2279615723074231,91
35,6.0,Housing,0.22123211700594878,91
36,7.0,Housing,0.21315988433603714,91
37,8.0,Housing,0.2008686028908556,91
38,9.0,Housing,0.18418353296639783,91
39,10.0,Housing,0.17336105835595364,91
40,1.0,Furniture,0.02536334908917245,91
41,2.0,Furniture,0.026090649089551242,91
42,3.0,Furniture,0.024599172517607678,91
43,4.0,Furniture,0.025625051123185128,91
44,5.0,Furniture,0.023170663429635176,91
45,6.0,Furniture,0.02381170607913268,91
46,7.0,Furniture,0.022898886945829325,91
47,8.0,Furniture,0.023256104794322663,91
48,9.0,Furniture,0.02392209337894988,91
49,10.0,Furniture,0.023192395700454477,91
50,1.0,Health,0.03352497024913063,91
51,2.0,Health,0.03396753317209248,91
52,3.0,Health,0.03716507902252906,91
53,4.0,Health,0.03851944361827739,91
54,5.0,Health,0.04109566725087425,91
55,6.0,Health,0.042782330007369765,91
56,7.0,Health,0.043466878293790825,91
57,8.0,Health,0.047665542210648344,91
58,9.0,Health,0.0544942226089946,91
59,10.0,Health,0.05307932829332514,91
60,1.0,Transportation,0.04244978653771401,91
61,2.0,Transportation,0.045189602278116116,91
62,3.0,Transportation,0.04694147409168689,91
63,4.0,Transportation,0.04690217784227741,91
64,5.0,Transportation,0.04697177915510399,91
65,6.0,Transportation,0.04549960217991249,91
66,7.0,Transportation,0.046817239375302785,91
67,8.0,Transportation,0.04286945874558107,91
68,9.0,Transportation,0.04205497015853888,91
69,10.0,Transportation,0.030151104089938294,91
70,1.0,ICT,0.027021963156904426,91
71,2.0,ICT,0.03081440153776915,91
72,3.0,ICT,0.030433768398763338,91
73,4.0,ICT,0.03058378784727201,91
74,5.0,ICT,0.029449647056160655,91
75,6.0,ICT,0.028451937469011365,91
76,7.0,ICT,0.027738808754934053,91
77,8.0,ICT,0.025086772560613237,91
78,9.0,ICT,0.023568380531578222,91
79,10.0,ICT,0.016404662367120442,91
80,1.0,Entertainment,0.003240299277552159,91
81,2.0,Entertainment,0.0041324290458376765,91
82,3.0,Entertainment,0.004244890510845194,91
83,4.0,Entertainment,0.004488749749477477,91
